left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	pr_subClassOf	pr_superClassOf	pr_equivalentTo	pr_other	left_novel	right_novel	left_consistent	right_consistent	equiv_clique_size
http://sweetontology.net/humanDecision#DSS		CHEBI:85362	3-(trimethylsilyl)propane-1-sulfonic acid	label	hasRelatedSynonym	DSS	DSS	12.0	1.0	1.0	4	1.0	0.04290671458240268	0.04290671458240268	0.16048543136522184	0.7537011394699729	True	True	False	False	3
http://sweetontology.net/humanEnvirStandards#ADI		CHEBI:60246	alpha-D-GalNAc-(1->3)-D-Gal	label	hasRelatedSynonym	ADI	Adi	12.0	1.0	1.0	4	1.0	0.07976909716325621	0.07976909716325621	0.767890593200731	0.07257121247275662	True	True	False	False	3
http://sweetontology.net/humanEnvirStandards#EPA		CHEBI:28364	all-cis-5,8,11,14,17-icosapentaenoic acid	label	hasRelatedSynonym	EPA	EPA	12.0	1.0	1.0	4	1.0	0.07976909716325621	0.07976909716325621	0.767890593200731	0.07257121247275662	True	True	False	False	3
http://sweetontology.net/humanJurisdiction#CSA		CHEBI:55379	camphorsulfonic acid	label	hasRelatedSynonym	CSA	CSA	12.0	1.0	1.0	0	0.5901639344262295	0.10513780194692608	0.10513780194692608	0.6940735985498787	0.09565079755626908	True	True	False	False	5
http://sweetontology.net/humanJurisdiction#SAR		CHEBI:15611	sarcosine	label	hasRelatedSynonym	SAR	Sar	12.0	1.0	1.0	2	0.5	0.09658512948219744	0.09658512948219744	0.7189598740993408	0.0878698669362643	True	True	False	False	8
http://sweetontology.net/matr#Air		CHEBI:28843	5-amino-1-(5-phospho-D-ribosyl)imidazole	label	hasRelatedSynonym	Air	AIR	12.0	0.3333333333333333	1.0	4	1.0	0.07769642366090888	0.07769642366090888	0.747938173757252	0.09666897892093024	True	True	False	False	3
http://sweetontology.net/matr#ChemicalSubstance		CHEBI:59999	chemical substance	label	label	ChemicalSubstance	chemical substance	100.0	0.018944519621109608	1.0	4	1.0	0.05115056621781009	0.05115056621781009	0.8630725371470451	0.03462633041733458	True	True	False	False	3
http://sweetontology.net/matr#DOC		CHEBI:16973	11-deoxycorticosterone	label	hasRelatedSynonym	DOC	DOC	12.0	1.0	1.0	4	1.0	0.07976909716325621	0.07976909716325621	0.767890593200731	0.07257121247275662	True	True	False	False	3
http://sweetontology.net/matr#GreenhouseGas		CHEBI:76413	greenhouse gas	label	label	GreenhouseGas	greenhouse gas	100.0	0.5	1.0	4	1.0	0.03852701025378537	0.03852701025378537	0.9024379698071128	0.02050800968531662	True	True	False	False	2
http://sweetontology.net/matr#Mixture		CHEBI:60004	mixture	label	label	Mixture	mixture	100.0	0.5714285714285714	1.0	4	1.0	0.05156884851259592	0.05156884851259592	0.8701302881769603	0.026732014797847866	True	True	False	False	3
